파일 경로,URL,언어,화면상 저자 표기,meta author,JSON-LD author,의료 검수자 표기,reviewedBy 또는 medicalReviewer,게시일,수정일,검토일,현재 표기 문제,권장 표준 표기,실제 검수 이력 확인 필요 여부,수정 위험도,예상 수정 파일
blog/sleep-memory-focus/index.html,https://nervlocklab.com/blog/sleep-memory-focus/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,"Jeehyun Ham, M.D.",,2026-07-17,,2026-07-17,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",Y,낮음(기계적 문자열 치환 가능),완료
blog/vitamin-b12-methylcobalamin/index.html,https://nervlocklab.com/blog/vitamin-b12-methylcobalamin/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"October 8, 2024",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/vitamin-b12-nerve/index.html,https://nervlocklab.com/blog/vitamin-b12-nerve/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"October 8, 2024",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/what-does-the-autonomic-nervous-system-control/index.html,https://nervlocklab.com/blog/what-does-the-autonomic-nervous-system-control/,en,"article-meta=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-18,2026-07-18,2026-07-18,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/what-does-the-autonomic-nervous-system-control/index.html
blog/why-cant-i-focus/index.html,https://nervlocklab.com/blog/why-cant-i-focus/,en,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-17,2026-07-17,2026-07-17,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/why-cant-i-focus/index.html
blog/why-concentration-declines-dopamine-sleep-adhd/index.html,https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-17,2026-07-17,2026-07-17,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/why-concentration-declines-dopamine-sleep-adhd/index.html
blog/기억력-치매-차이/index.html,https://nervlocklab.com/blog/기억력-치매-차이/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-18,2026-07-18,2026-07-18,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/기억력-치매-차이/index.html
blog/뇌-영양/index.html,https://nervlocklab.com/blog/뇌-영양/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-18,2026-07-18,2026-07-18,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/뇌-영양/index.html
blog/대상포진-신경통/index.html,https://nervlocklab.com/blog/대상포진-신경통/,ko,"함지현 (상단 바이라인) / Jeehyun Ham, M.D. (author-card·sig-block, 이번 작업 범위 밖이라 미변경)",,,,,2024. 10. 28,,,"상단 바이라인의 Dr. Claire Ham은 해결됨(2026-07-20, →함지현). 단, 같은 페이지 author-card/sig-block은 여전히 영문 'Jeehyun Ham, M.D.'로 표시되어 상단(한국어)과 하단(영문) 표기가 혼재하는 새로운 불일치가 남아있음 — 향후 결정 필요.","상단 바이라인: 함지현(적용 완료). author-card/sig-block의 Jeehyun Ham, M.D.는 2026-07-20 작업에서 의도적으로 유지 결정(교체 대상 아님) — 페이지 내 한/영 혼재 여부를 별도 정책으로 정리할지는 인간 결정 필요.",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),부분 완료(바이라인만)
blog/두근거림-어지럼-소화불편-자율신경/index.html,https://nervlocklab.com/blog/두근거림-어지럼-소화불편-자율신경/,ko,"article-meta=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-19,2026-07-19,2026-07-19,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/두근거림-어지럼-소화불편-자율신경/index.html
blog/레보도파-오해/index.html,https://nervlocklab.com/blog/레보도파-오해/,ko,"article-meta=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 6. 1,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/레보도파-오해/index.html
blog/말초신경병증/index.html,https://nervlocklab.com/blog/말초신경병증/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2024. 11. 12,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/말초신경병증/index.html
blog/브레인포그-신경과학/index.html,https://nervlocklab.com/blog/브레인포그-신경과학/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 6. 10,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/브레인포그-신경과학/index.html
blog/브레인포그-원인/index.html,https://nervlocklab.com/blog/브레인포그-원인/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-18,2026-07-18,2026-07-18,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/브레인포그-원인/index.html
blog/비타민B12-신경/index.html,https://nervlocklab.com/blog/비타민B12-신경/,ko,"함지현 (상단 바이라인) / Jeehyun Ham, M.D. (author-card·sig-block, 이번 작업 범위 밖이라 미변경)",,,,,2024. 10. 08,,,"상단 바이라인의 Dr. Claire Ham은 해결됨(2026-07-20, →함지현). 단, 같은 페이지 author-card/sig-block은 여전히 영문 'Jeehyun Ham, M.D.'로 표시되어 상단(한국어)과 하단(영문) 표기가 혼재하는 새로운 불일치가 남아있음 — 향후 결정 필요.","상단 바이라인: 함지현(적용 완료). author-card/sig-block의 Jeehyun Ham, M.D.는 2026-07-20 작업에서 의도적으로 유지 결정(교체 대상 아님) — 페이지 내 한/영 혼재 여부를 별도 정책으로 정리할지는 인간 결정 필요.",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),부분 완료(바이라인만)
blog/수면-기억력-집중력/index.html,https://nervlocklab.com/blog/수면-기억력-집중력/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,"Jeehyun Ham, M.D.",,2026-07-17,,2026-07-17,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/수면-기억력-집중력/index.html
blog/신경-건강-음식/index.html,https://nervlocklab.com/blog/신경-건강-음식/,ko,"함지현 (상단 바이라인) / Jeehyun Ham, M.D. (author-card·sig-block, 이번 작업 범위 밖이라 미변경)",,,,,2024. 08. 22,,,"상단 바이라인의 Dr. Claire Ham은 해결됨(2026-07-20, →함지현). 단, 같은 페이지 author-card/sig-block은 여전히 영문 'Jeehyun Ham, M.D.'로 표시되어 상단(한국어)과 하단(영문) 표기가 혼재하는 새로운 불일치가 남아있음 — 향후 결정 필요.","상단 바이라인: 함지현(적용 완료). author-card/sig-block의 Jeehyun Ham, M.D.는 2026-07-20 작업에서 의도적으로 유지 결정(교체 대상 아님) — 페이지 내 한/영 혼재 여부를 별도 정책으로 정리할지는 인간 결정 필요.",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),부분 완료(바이라인만)
blog/알파리포산/index.html,https://nervlocklab.com/blog/알파리포산/,ko,"함지현 (상단 바이라인) / Jeehyun Ham, M.D. (author-card·sig-block, 이번 작업 범위 밖이라 미변경)",,,,,2024. 09. 17,,,"상단 바이라인의 Dr. Claire Ham은 해결됨(2026-07-20, →함지현). 단, 같은 페이지 author-card/sig-block은 여전히 영문 'Jeehyun Ham, M.D.'로 표시되어 상단(한국어)과 하단(영문) 표기가 혼재하는 새로운 불일치가 남아있음 — 향후 결정 필요.","상단 바이라인: 함지현(적용 완료). author-card/sig-block의 Jeehyun Ham, M.D.는 2026-07-20 작업에서 의도적으로 유지 결정(교체 대상 아님) — 페이지 내 한/영 혼재 여부를 별도 정책으로 정리할지는 인간 결정 필요.",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),부분 완료(바이라인만)
blog/야간-신경-불편감/index.html,https://nervlocklab.com/blog/야간-신경-불편감/,ko,"함지현 (상단 바이라인) / Jeehyun Ham, M.D. (author-card·sig-block, 이번 작업 범위 밖이라 미변경)",,,,,2024. 09. 03,,,"상단 바이라인의 Dr. Claire Ham은 해결됨(2026-07-20, →함지현). 단, 같은 페이지 author-card/sig-block은 여전히 영문 'Jeehyun Ham, M.D.'로 표시되어 상단(한국어)과 하단(영문) 표기가 혼재하는 새로운 불일치가 남아있음 — 향후 결정 필요.","상단 바이라인: 함지현(적용 완료). author-card/sig-block의 Jeehyun Ham, M.D.는 2026-07-20 작업에서 의도적으로 유지 결정(교체 대상 아님) — 페이지 내 한/영 혼재 여부를 별도 정책으로 정리할지는 인간 결정 필요.",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),부분 완료(바이라인만)
blog/자율신경-무너졌을때/index.html,https://nervlocklab.com/blog/자율신경-무너졌을때/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 6. 15,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/자율신경-무너졌을때/index.html
blog/자율신경-조절/index.html,https://nervlocklab.com/blog/자율신경-조절/,ko,"article-meta=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-18,2026-07-18,2026-07-18,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/자율신경-조절/index.html
blog/치매-10년전-신호/index.html,https://nervlocklab.com/blog/치매-10년전-신호/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 7. 1,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/치매-10년전-신호/index.html
blog/치매-위험-생활습관/index.html,https://nervlocklab.com/blog/치매-위험-생활습관/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 7. 3,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/치매-위험-생활습관/index.html
blog/파킨슨-REM수면장애/index.html,https://nervlocklab.com/blog/파킨슨-REM수면장애/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 3. 11,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/파킨슨-REM수면장애/index.html
blog/파킨슨-감별진단/index.html,https://nervlocklab.com/blog/파킨슨-감별진단/,ko,"article-meta=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 6. 2,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/파킨슨-감별진단/index.html
blog/파킨슨-글루타치온/index.html,https://nervlocklab.com/blog/파킨슨-글루타치온/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 3. 11,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/파킨슨-글루타치온/index.html
blog/파킨슨-변비/index.html,https://nervlocklab.com/blog/파킨슨-변비/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 4. 27,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/파킨슨-변비/index.html
blog/파킨슨-보호자/index.html,https://nervlocklab.com/blog/파킨슨-보호자/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 3. 16,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/파킨슨-보호자/index.html
blog/파킨슨-약물용량/index.html,https://nervlocklab.com/blog/파킨슨-약물용량/,ko,"article-meta=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 6. 3,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/파킨슨-약물용량/index.html
blog/파킨슨-약물치료/index.html,https://nervlocklab.com/blog/파킨슨-약물치료/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 2. 28,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/파킨슨-약물치료/index.html
blog/파킨슨-운동치료/index.html,https://nervlocklab.com/blog/파킨슨-운동치료/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 3. 8,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/파킨슨-운동치료/index.html
blog/파킨슨-원인-도파민/index.html,https://nervlocklab.com/blog/파킨슨-원인-도파민/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 2. 27,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/파킨슨-원인-도파민/index.html
blog/파킨슨-유전/index.html,https://nervlocklab.com/blog/파킨슨-유전/,ko,"article-meta=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 5. 31,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/파킨슨-유전/index.html
blog/파킨슨-이상운동증/index.html,https://nervlocklab.com/blog/파킨슨-이상운동증/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 3. 24,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/파킨슨-이상운동증/index.html
blog/파킨슨-초기증상/index.html,https://nervlocklab.com/blog/파킨슨-초기증상/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 2. 27,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/파킨슨-초기증상/index.html
blog/파킨슨-통증/index.html,https://nervlocklab.com/blog/파킨슨-통증/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 3. 1,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/파킨슨-통증/index.html
blog/파킨슨증-원인/index.html,https://nervlocklab.com/blog/파킨슨증-원인/,ko,"article-meta=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 5. 17,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/파킨슨증-원인/index.html
blog/포스파티딜세린-기억력/index.html,https://nervlocklab.com/blog/포스파티딜세린-기억력/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 6. 20,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/포스파티딜세린-기억력/index.html
blog/호모시스테인-치매-B비타민/index.html,https://nervlocklab.com/blog/호모시스테인-치매-B비타민/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 7. 5,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/호모시스테인-치매-B비타민/index.html
blog/index.html,https://nervlocklab.com/blog/,ko,함지현 (블로그 카드 29건 전체),,,,,,,,"해결됨(2026-07-20) — Dr.H 전량 제거, 함지현으로 통일. YouTube 핸들 @Dr.H-neuro는 브랜드 식별자로 별도 유지.","'Dr.H' → 'Jeehyun Ham, M.D.'로 통일 (29건)","N/A(목록 페이지, 검수자 필드 없음)","낮음(기계적 문자열 치환 가능, 단 29건 일괄)",완료
en/blog/index.html,https://nervlocklab.com/en/blog/,en,"Jeehyun Ham, M.D. (블로그 카드 29건 전체)",,,,,,,,"해결됨(2026-07-20) — Dr. Ham Jeehyun, M.D.(이름 순서 반전) 전량 제거, Jeehyun Ham, M.D.로 통일","'Dr. Ham Jeehyun, M.D.' → 'Jeehyun Ham, M.D.'로 통일 (29건)","N/A(목록 페이지, 검수자 필드 없음)","낮음(기계적 문자열 치환 가능, 단 29건 일괄)",완료
index.html,https://nervlocklab.com/,ko,"함지현 원장 (founder-name, 미변경) / Jeehyun Ham, M.D. (founder-en-name, 수정됨)",,"JSON-LD name: Ham Jeehyun (Person/Organization 스키마, bare)",,,,,,"해결됨(2026-07-20) — founder-en-name의 이름 순서 반전 및 JSON-LD founder.name(""Ham Jeehyun""→""Jeehyun Ham"") 수정. 한국어 founder-name ""함지현 원장""은 지시에 따라 미변경.","founder-en-name을 'Jeehyun Ham, M.D.'로 수정, JSON-LD name도 'Jeehyun Ham'으로 수정. founder-en-role의 'Board-Certified Neurologist'는 이미 표준이므로 유지하고 이를 개별 블로그 글로 전파할지 별도 결정 필요.",N/A,중간(사이트 전체의 정본 소스이므로 변경 파급 범위가 큼),완료
en/index.html,https://nervlocklab.com/en/,en,"Jeehyun Ham, M.D. (founder-name, 수정됨)",,"JSON-LD name: Ham Jeehyun (Person/Organization 스키마, bare)",,,,,,"해결됨(2026-07-20) — founder-name 이름 순서 반전 수정, JSON-LD founder.name(""Ham Jeehyun""→""Jeehyun Ham"") 수정, honorificPrefix: ""Dr."" 제거.","founder-name을 'Jeehyun Ham, M.D.'로 수정, JSON-LD name도 'Jeehyun Ham'으로 수정.",N/A,중간(사이트 전체의 정본 소스이므로 변경 파급 범위가 큼),완료
