content_id,file_path,url,language,page_type,title,h1,meta_title,meta_description,current_category_tag,category_label_drift,author_display,author_standard_mismatch,medical_reviewer,published_date,reviewed_date,canonical,hreflang,has_hreflang,structured_data_types,has_structured_data,reference_count,internal_links,external_links,has_product_cta,product_cta_type,mechanism_overreach_without_cta,keyword_hits,risk_grade
parkinson-rem-sleep-disorder,blog/parkinson-rem-sleep-disorder/index.html,https://nervlocklab.com/blog/parkinson-rem-sleep-disorder/,en,Blog,REM Sleep Behavior Disorder in Parkinson's Disease | NervLock,,REM Sleep Behavior Disorder in Parkinson's Disease | NervLock,"REM sleep behavior disorder (RBD) is among the earliest and most predictive biomarkers of Parkinson's disease. Learn the neuroscience behind REM atonia loss, clinical presentation, and current management strategies.",,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinson-rem-sleep-disorder/,,N,,N,0,5,0,N,,N,,B
parkinsonism-differential-causes,blog/parkinsonism-differential-causes/index.html,https://nervlocklab.com/blog/parkinsonism-differential-causes/,en,Blog,Beyond Parkinson's Disease: Understanding the Differential Diagnosis of Parkinsonism | NervLock,Beyond Parkinson's Disease: Understanding the Differential Diagnosis of Parkinsonism,Beyond Parkinson's Disease: Understanding the Differential Diagnosis of Parkinsonism | NervLock,"Drug-induced parkinsonism, vascular parkinsonism, NPH, and atypical Parkinson-plus syndromes — a neurologist's clinical framework for differential diagnosis of parkinsonism.",Neurological Symptoms &amp; Conditions,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinsonism-differential-causes/,,N,,N,0,2,0,N,,N,,B
peripheral-neuropathy,blog/peripheral-neuropathy/index.html,https://nervlocklab.com/blog/peripheral-neuropathy/,en,Blog,"What is Peripheral Neuropathy? Symptoms, Causes & Neurologist's Perspective | NervLock","What is Peripheral Neuropathy? Symptoms, Causes & Neurologist's Perspective","What is Peripheral Neuropathy? Symptoms, Causes & Neurologist's Perspective | NervLock",,Pain &amp; Autonomic Health,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/peripheral-neuropathy/,,N,,N,0,0,0,N,,N,"{""curcumin"": 7, ""Aflapin"": 4, ""NF-κB"": 6, ""5-LOX"": 6}",B
phosphatidylserine-memory,blog/phosphatidylserine-memory/index.html,https://nervlocklab.com/blog/phosphatidylserine-memory/,en,Blog,Phosphatidylserine and Memory: The Neurobiological Case | NervLock,Phosphatidylserine and Memory: The Neurobiological Case for a Clinically Recognized Nutrient,Phosphatidylserine and Memory: The Neurobiological Case | NervLock,,Nutrition &amp; Metabolism,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/phosphatidylserine-memory/,,N,,N,0,2,0,N,,N,"{""co-formulation"": 1}",B
postherpetic-neuralgia,blog/postherpetic-neuralgia/index.html,https://nervlocklab.com/blog/postherpetic-neuralgia/,en,Blog,Postherpetic Neuralgia: Why Pain Persists Long After the Rash Has Healed | NervLock,Postherpetic Neuralgia: Why Pain Persists Long After the Rash Has Healed,Postherpetic Neuralgia: Why Pain Persists Long After the Rash Has Healed | NervLock,,Pain &amp; Autonomic Health,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/postherpetic-neuralgia/,,N,,N,0,2,0,N,,N,"{""NF-κB"": 1}",B
rTG-오메가3-차이,blog/rTG-오메가3-차이/index.html,https://nervlocklab.com/blog/rTG-오메가3-차이/,ko,Blog,"rTG 오메가3, 일반 오메가3와 뭐가 다른가 — 흡수율의 과학 | NervLock","rTG 오메가3, 일반 오메가3와 뭐가 다른가 — 신경과 전문의가 설명하는 흡수율의 과학","rTG 오메가3, 일반 오메가3와 뭐가 다른가 — 흡수율의 과학 | NervLock",,영양·대사,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
rtg-omega3-bioavailability,blog/rtg-omega3-bioavailability/index.html,https://nervlocklab.com/blog/rtg-omega3-bioavailability/,en,Blog,rTG Omega-3: Why Molecular Form Determines Bioavailability | NervLock,rTG Omega-3: Why Molecular Form Determines Bioavailability — A Neurologist's Guide,rTG Omega-3: Why Molecular Form Determines Bioavailability | NervLock,,Nutrition &amp; Metabolism,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/rtg-omega3-bioavailability/,,N,,N,0,2,0,N,,N,"{""5-LOX"": 1}",B
sleep-memory-focus,blog/sleep-memory-focus/index.html,https://nervlocklab.com/blog/sleep-memory-focus/,en,Blog,Sleep and Brain Health: How Rest Shapes Memory and Focus | NervLock,Sleep and Brain Health How Rest Shapes Memory and Focus,Sleep and Brain Health: How Rest Shapes Memory and Focus | NervLock,,Brain Health &amp; Lifestyle,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/sleep-memory-focus/,,N,,N,0,4,0,N,,N,,B
vitamin-b12-methylcobalamin,blog/vitamin-b12-methylcobalamin/index.html,https://nervlocklab.com/blog/vitamin-b12-methylcobalamin/,en,Blog,Vitamin B12 and Nerve Health: Why Form Matters — Methylcobalamin vs Cyanocobalamin | NervLock,Vitamin B12 and Nerve Health: Why Form Matters — Methylcobalamin vs Cyanocobalamin,Vitamin B12 and Nerve Health: Why Form Matters — Methylcobalamin vs Cyanocobalamin | NervLock,,Nutrition &amp; Metabolism,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/vitamin-b12-methylcobalamin/,,N,,N,0,2,0,N,,N,,B
vitamin-b12-nerve,blog/vitamin-b12-nerve/index.html,https://nervlocklab.com/blog/vitamin-b12-nerve/,en,Blog,Methylcobalamin vs. Cyanocobalamin: What Your Nerves Actually Need | NervLock,Methylcobalamin vs. Cyanocobalamin: What Your Nerves Actually Need,Methylcobalamin vs. Cyanocobalamin: What Your Nerves Actually Need | NervLock,,Nutrition &amp; Metabolism,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/vitamin-b12-methylcobalamin/,,N,,N,0,2,0,N,,N,,B
what-does-the-autonomic-nervous-system-control,blog/what-does-the-autonomic-nervous-system-control/index.html,https://nervlocklab.com/blog/what-does-the-autonomic-nervous-system-control/,en,Blog,What Does the Autonomic Nervous System Control? | NervLock,What Does the Autonomic Nervous System Control?,What Does the Autonomic Nervous System Control? | NervLock,"Learn how the autonomic nervous system helps regulate heart rate, blood pressure, digestion, body temperature and sweating, pupil responses, and bladder function.",Pain &amp; Autonomic Health,N,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/what-does-the-autonomic-nervous-system-control/,ko->https://nervlocklab.com/blog/자율신경-조절/; en->https://nervlocklab.com/blog/what-does-the-autonomic-nervous-system-control/; x-default->https://nervlocklab.com/blog/자율신경-조절/,Y,"Article, BreadcrumbList, ListItem, Organization, Person, WebPage",Y,6,2,6,N,,N,,A
why-cant-i-focus,blog/why-cant-i-focus/index.html,https://nervlocklab.com/blog/why-cant-i-focus/,en,Blog,"Why Can't I Focus? Dopamine, Sleep &amp; Adult ADHD | NervLock",Why Can't I Focus? It's Not Just Dopamine,"Why Can't I Focus? Dopamine, Sleep &amp; Adult ADHD | NervLock","Difficulty concentrating is not always a dopamine problem. Learn how sleep, stress, smartphones, mood, pain, medications, and adult ADHD can affect focus—and when to seek care.",Brain Health &amp; Lifestyle,N,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/why-cant-i-focus/,ko->https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/; en->https://nervlocklab.com/blog/why-cant-i-focus/; x-default->https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/,Y,"Article, BreadcrumbList, ListItem, Organization, Person, WebPage",Y,12,4,12,N,,N,,A
why-concentration-declines-dopamine-sleep-adhd,blog/why-concentration-declines-dopamine-sleep-adhd/index.html,https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/,ko,Blog,"집중력이 떨어지는 이유: 도파민, 수면, 스트레스와 성인 ADHD | NervLock Lab",집중력이 떨어지는 이유 도파민만의 문제는 아닙니다,"집중력이 떨어지는 이유: 도파민, 수면, 스트레스와 성인 ADHD | NervLock Lab","집중력 저하를 도파민 부족만으로 설명할 수 없는 이유를 알아봅니다. 수면, 스트레스, 스마트폰, 우울·불안, 성인 ADHD와 진료가 필요한 위험 신호를 근거 중심으로 설명합니다.",뇌 건강·생활,N,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/,ko->https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/; en->https://nervlocklab.com/blog/why-cant-i-focus/; x-default->https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/,Y,"Article, BreadcrumbList, ListItem, Organization, Person, WebPage",Y,12,4,12,N,,N,,A
기억력-치매-차이,blog/기억력-치매-차이/index.html,https://nervlocklab.com/blog/기억력-치매-차이/,ko,Blog,기억력 저하와 치매: 정상 노화·주관적 인지저하·경도인지장애의 차이 | NervLock,기억력 저하는 모두 치매일까? 정상적인 연령 변화와 위험 신호,기억력 저하와 치매: 정상 노화·주관적 인지저하·경도인지장애의 차이 | NervLock,"기억력 저하가 모두 치매를 의미하지는 않습니다. 정상적인 연령 변화, 주관적 인지저하, 경도인지장애와 치매의 차이, 수면·기분·약물의 영향과 진료가 필요한 위험 신호를 설명합니다.",뇌 건강·생활,N,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/기억력-치매-차이/,ko->https://nervlocklab.com/blog/기억력-치매-차이/; en->https://nervlocklab.com/blog/memory-loss-and-dementia/; x-default->https://nervlocklab.com/blog/기억력-치매-차이/,Y,"Article, BreadcrumbList, ListItem, Organization, Person, WebPage",Y,15,5,15,N,,N,,A
뇌-영양,blog/뇌-영양/index.html,https://nervlocklab.com/blog/뇌-영양/,ko,Blog,뇌 건강과 영양: 식사 패턴·오메가-3·비타민 근거 | NervLock,뇌 건강과 영양: 무엇이 근거가 있고 무엇이 불확실할까?,뇌 건강과 영양: 식사 패턴·오메가-3·비타민 근거 | NervLock,"뇌 건강에 필요한 영양을 근거 중심으로 설명합니다. 전체 식사 패턴과 오메가-3, 비타민 B12·B군·D, 철분, 티아민, 콜린의 생리적 역할, 결핍 교정과 보충제 효과의 차이를 알아봅니다.",영양·대사,N,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/뇌-영양/,ko->https://nervlocklab.com/blog/뇌-영양/; en->https://nervlocklab.com/blog/brain-nutrition/; x-default->https://nervlocklab.com/blog/뇌-영양/,Y,"Article, BreadcrumbList, ListItem, Organization, Person, WebPage",Y,16,5,16,N,,N,"{""커큐민"": 1}",A
대상포진-신경통,blog/대상포진-신경통/index.html,https://nervlocklab.com/blog/대상포진-신경통/,ko,Blog,"대상포진 후 신경통, 왜 수십 년씩 지속되는가 | NervLock","대상포진 후 신경통, 왜 수십 년씩 지속되는가","대상포진 후 신경통, 왜 수십 년씩 지속되는가 | NervLock",,통증·자율신경,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,"{""커큐민"": 2, ""애플라핀"": 1, ""NF-κB"": 2, ""5-LOX"": 3}",B
두근거림-어지럼-소화불편-자율신경,blog/두근거림-어지럼-소화불편-자율신경/index.html,https://nervlocklab.com/blog/두근거림-어지럼-소화불편-자율신경/,ko,Blog,두근거림·어지럼·소화불편이 함께 있다면 자율신경 문제일까요? | NervLock,두근거림·어지럼·소화불편이 함께 있다면 자율신경 문제일까요?,두근거림·어지럼·소화불편이 함께 있다면 자율신경 문제일까요? | NervLock,"두근거림, 어지럼, 소화불편이 함께 있을 때 자율신경과의 관련 가능성, 빈혈·부정맥·갑상선·약물·수면 부족 등 다른 원인을 함께 확인해야 하는 이유를 설명합니다.",통증·자율신경,N,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/두근거림-어지럼-소화불편-자율신경/,ko->https://nervlocklab.com/blog/두근거림-어지럼-소화불편-자율신경/; en->https://nervlocklab.com/blog/palpitations-dizziness-digestive-symptoms-autonomic-nervous-system/; x-default->https://nervlocklab.com/blog/두근거림-어지럼-소화불편-자율신경/,Y,"Article, BreadcrumbList, ListItem, Organization, Person, WebPage",Y,8,2,8,N,,N,,A
레보도파-오해,blog/레보도파-오해/index.html,https://nervlocklab.com/blog/레보도파-오해/,ko,Blog,"레보도파 장기 복용, 정말 위험한가? — 오해와 진실 | NervLock","레보도파 장기 복용, 정말 위험한가? — 오해와 진실","레보도파 장기 복용, 정말 위험한가? — 오해와 진실 | NervLock","레보도파는 내성이 생기는 약이 아닙니다. 이상운동증의 원리, '늦게 시작해야 한다'는 오해, 임의 복약 중단의 위험까지 — 신경과 전문의가 정확히 설명합니다.",신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
말초신경병증,blog/말초신경병증/index.html,https://nervlocklab.com/blog/말초신경병증/,ko,Blog,"말초신경병증이란? 증상, 원인, 신경과 전문의의 시각 | NervLock","말초신경병증이란? 증상, 원인, 신경과 전문의의 시각","말초신경병증이란? 증상, 원인, 신경과 전문의의 시각 | NervLock",,통증·자율신경,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,0,0,N,,N,"{""curcumin"": 1, ""커큐민"": 6, ""Aflapin"": 1, ""애플라핀"": 3, ""NF-κB"": 6, ""5-LOX"": 6}",B
브레인포그-신경과학,blog/브레인포그-신경과학/index.html,https://nervlocklab.com/blog/브레인포그-신경과학/,ko,Blog,브레인 포그(Brain Fog) — 멍한 머리의 신경과학적 원인과 필요 영양소 | NervLock,브레인 포그(Brain Fog) — 멍한 머리의 신경과학적 원인과 필요 영양소,브레인 포그(Brain Fog) — 멍한 머리의 신경과학적 원인과 필요 영양소 | NervLock,,뇌 건강·생활,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
브레인포그-원인,blog/브레인포그-원인/index.html,https://nervlocklab.com/blog/브레인포그-원인/,ko,Blog,브레인포그란? 가능한 원인과 진료가 필요한 경우 | NervLock,브레인포그는 질병명일까? 가능한 원인과 진료가 필요한 경우,브레인포그란? 가능한 원인과 진료가 필요한 경우 | NervLock,"브레인포그는 공식 진단명이 아닙니다. 수면, 스트레스, 기분, Long COVID, 폐경과 약물 등 가능한 관련 요인, 치매·뇌 손상·영양결핍과의 구분, 진료가 필요한 신호를 설명합니다.",뇌 건강·생활,N,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/브레인포그-원인/,ko->https://nervlocklab.com/blog/브레인포그-원인/; en->https://nervlocklab.com/blog/brain-fog-causes/; x-default->https://nervlocklab.com/blog/브레인포그-원인/,Y,"Article, BreadcrumbList, ListItem, Organization, Person, WebPage",Y,14,5,14,N,,N,,A
비타민B12-신경,blog/비타민B12-신경/index.html,https://nervlocklab.com/blog/비타민B12-신경/,ko,Blog,비타민 B12가 신경에 하는 일 — 메코발라민 vs 시아노코발라민 | NervLock,비타민 B12가 신경에 하는 일 — 메코발라민 vs 시아노코발라민,비타민 B12가 신경에 하는 일 — 메코발라민 vs 시아노코발라민 | NervLock,,영양·대사,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
수면-기억력-집중력,blog/수면-기억력-집중력/index.html,https://nervlocklab.com/blog/수면-기억력-집중력/,ko,Blog,수면과 뇌 건강: 잠은 기억력과 집중력에 어떤 영향을 줄까? | NervLock,수면과 뇌 건강 잠은 기억력과 집중력에 어떤 영향을 줄까?,수면과 뇌 건강: 잠은 기억력과 집중력에 어떤 영향을 줄까? | NervLock,,뇌 건강·생활,N,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/수면-기억력-집중력/,,N,,N,0,4,0,N,,N,,B
신경-건강-음식,blog/신경-건강-음식/index.html,https://nervlocklab.com/blog/신경-건강-음식/,ko,Blog,신경 건강을 위해 조심해야 할 음식 5가지 | NervLock,신경 건강을 위해 조심해야 할 음식 5가지,신경 건강을 위해 조심해야 할 음식 5가지 | NervLock,,영양·대사,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,"{""커큐민"": 1, ""NF-κB"": 4, ""5-LOX"": 1}",B
알파리포산,blog/알파리포산/index.html,https://nervlocklab.com/blog/알파리포산/,ko,Blog,"알파리포산(ALA), 왜 신경 건강에 주목받는가 | NervLock","알파리포산(ALA), 왜 신경 건강에 주목받는가","알파리포산(ALA), 왜 신경 건강에 주목받는가 | NervLock",,영양·대사,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
야간-신경-불편감,blog/야간-신경-불편감/index.html,https://nervlocklab.com/blog/야간-신경-불편감/,ko,Blog,왜 밤에 신경 불편감이 심해지는가 | NervLock,왜 밤에 신경 불편감이 심해지는가,왜 밤에 신경 불편감이 심해지는가 | NervLock,,통증·자율신경,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,"{""NF-κB"": 1}",B
자율신경-무너졌을때,blog/자율신경-무너졌을때/index.html,https://nervlocklab.com/blog/자율신경-무너졌을때/,ko,Blog,자율신경이 무너졌을 때 — 몸이 보내는 신호들 | NervLock,자율신경이 무너졌을 때 — 몸이 보내는 신호들,자율신경이 무너졌을 때 — 몸이 보내는 신호들 | NervLock,,통증·자율신경,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
자율신경-조절,blog/자율신경-조절/index.html,https://nervlocklab.com/blog/자율신경-조절/,ko,Blog,자율신경은 무엇을 조절할까요? 심박수·소화·땀·방광 | NervLock,자율신경은 무엇을 조절할까요?,자율신경은 무엇을 조절할까요? 심박수·소화·땀·방광 | NervLock,"자율신경계가 심박수와 혈압, 소화와 장운동, 체온조절과 땀, 동공 반응, 방광 기능의 조절에 어떻게 관여하는지 알아봅니다.",통증·자율신경,N,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/자율신경-조절/,ko->https://nervlocklab.com/blog/자율신경-조절/; en->https://nervlocklab.com/blog/what-does-the-autonomic-nervous-system-control/; x-default->https://nervlocklab.com/blog/자율신경-조절/,Y,"Article, BreadcrumbList, ListItem, Organization, Person, WebPage",Y,6,2,6,N,,N,,A
치매-10년전-신호,blog/치매-10년전-신호/index.html,https://nervlocklab.com/blog/치매-10년전-신호/,ko,Blog,치매는 갑자기 오지 않는다 — 10년 전부터 시작되는 뇌의 변화 | NervLock,치매는 갑자기 오지 않는다 10년 전부터 시작되는 뇌의 변화,치매는 갑자기 오지 않는다 — 10년 전부터 시작되는 뇌의 변화 | NervLock,,신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
치매-위험-생활습관,blog/치매-위험-생활습관/index.html,https://nervlocklab.com/blog/치매-위험-생활습관/,ko,Blog,치매 위험을 높이는 생활습관 7가지 — 신경과 전문의가 정리한 수정 가능한 위험인자 | NervLock,치매 위험을 높이는 생활습관 7가지 신경과 전문의가 정리한 수정 가능한 위험인자,치매 위험을 높이는 생활습관 7가지 — 신경과 전문의가 정리한 수정 가능한 위험인자 | NervLock,,신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
파킨슨-REM수면장애,blog/파킨슨-REM수면장애/index.html,https://nervlocklab.com/blog/파킨슨-REM수면장애/,ko,Blog,파킨슨과 수면 — REM수면행동장애 깊게 파기 | NervLock,파킨슨과 수면 REM수면행동장애를 깊이 이해하기,파킨슨과 수면 — REM수면행동장애 깊게 파기 | NervLock,,신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
파킨슨-감별진단,blog/파킨슨-감별진단/index.html,https://nervlocklab.com/blog/파킨슨-감별진단/,ko,Blog,파킨슨병과 파킨슨 증후군 — 헷갈리기 쉬운 4가지 질환 정확히 구별하기 | NervLock,파킨슨병과 파킨슨 증후군 — 4가지 질환 정확히 구별하기,파킨슨병과 파킨슨 증후군 — 헷갈리기 쉬운 4가지 질환 정확히 구별하기 | NervLock,"MSA, PSP, 루이소체 치매, CBS — 파킨슨처럼 보이지만 다른 네 가지 질환의 감별 포인트를 신경과 전문의가 비교표와 함께 설명합니다.",신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
파킨슨-글루타치온,blog/파킨슨-글루타치온/index.html,https://nervlocklab.com/blog/파킨슨-글루타치온/,ko,Blog,"글루타치온 수액, 파킨슨에 도움이 될까? | NervLock",글루타치온 수액 파킨슨 관리에 어떤 역할을 하는가,"글루타치온 수액, 파킨슨에 도움이 될까? | NervLock",,신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
파킨슨-변비,blog/파킨슨-변비/index.html,https://nervlocklab.com/blog/파킨슨-변비/,ko,Blog,파킨슨 환자의 변비 — 물 많이 드세요로는 해결되지 않습니다 | NervLock,"파킨슨 환자의 변비 ""물 많이 드세요""로는 해결되지 않습니다",파킨슨 환자의 변비 — 물 많이 드세요로는 해결되지 않습니다 | NervLock,,신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
파킨슨-보호자,blog/파킨슨-보호자/index.html,https://nervlocklab.com/blog/파킨슨-보호자/,ko,Blog,파킨슨 보호자가 꼭 알아야 할 것들 | NervLock,파킨슨 보호자가 꼭 알아야 할 것들,파킨슨 보호자가 꼭 알아야 할 것들 | NervLock,,신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
파킨슨-약물용량,blog/파킨슨-약물용량/index.html,https://nervlocklab.com/blog/파킨슨-약물용량/,ko,Blog,파킨슨 약 용량이 계속 늘어나는 이유 — 내성이 아니에요 | NervLock,파킨슨 약 용량이 계속 늘어나는 이유 — 내성이 아니에요,파킨슨 약 용량이 계속 늘어나는 이유 — 내성이 아니에요 | NervLock,"레보도파 용량이 늘어나는 건 내성이 아니라 질병 진행의 결과예요. 도파민 저장 용량 감소, wearing-off, 이상운동증 — 세 가지 이유를 신경과 전문의가 설명합니다.",신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
파킨슨-약물치료,blog/파킨슨-약물치료/index.html,https://nervlocklab.com/blog/파킨슨-약물치료/,ko,Blog,"파킨슨 약물 관리, 어떻게 시작하고 어떻게 이해해야 할까 | NervLock",파킨슨 약물 관리 어떻게 시작하고 어떻게 이해해야 할까,"파킨슨 약물 관리, 어떻게 시작하고 어떻게 이해해야 할까 | NervLock",,신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
파킨슨-운동치료,blog/파킨슨-운동치료/index.html,https://nervlocklab.com/blog/파킨슨-운동치료/,ko,Blog,파킨슨병과 운동 — 신경과 전문의가 운동을 처방하는 이유 | NervLock,파킨슨병과 운동 신경과 전문의가 운동을 처방하는 이유,파킨슨병과 운동 — 신경과 전문의가 운동을 처방하는 이유 | NervLock,,신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
파킨슨-원인-도파민,blog/파킨슨-원인-도파민/index.html,https://nervlocklab.com/blog/파킨슨-원인-도파민/,ko,Blog,"파킨슨병은 왜 생기는가 — 도파민, 루이소체, 신경 염증 | NervLock","파킨슨병은 왜 생기는가 도파민, 루이소체, 그리고 신경 염증","파킨슨병은 왜 생기는가 — 도파민, 루이소체, 신경 염증 | NervLock",,신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
파킨슨-유전,blog/파킨슨-유전/index.html,https://nervlocklab.com/blog/파킨슨-유전/,ko,Blog,파킨슨 유전 위험성 — 부모가 파킨슨이면 나는 얼마나 위험한가? | NervLock,파킨슨 유전 위험성 — 부모가 파킨슨이면 나는 얼마나 위험한가?,파킨슨 유전 위험성 — 부모가 파킨슨이면 나는 얼마나 위험한가? | NervLock,"파킨슨병 유전율은 5~10%. LRRK2, PINK1, PARKIN, SNCA — 주요 유전자별 특징과 불완전 침투율, 유전자 검사 기준을 신경과 전문의가 설명합니다.",신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
파킨슨-이상운동증,blog/파킨슨-이상운동증/index.html,https://nervlocklab.com/blog/파킨슨-이상운동증/,ko,Blog,파킨슨 약을 먹는데 몸이 저절로 움직여요 — 이상운동증 이야기 | NervLock,약을 먹는데 몸이 저절로 움직여요 이상운동증 이야기,파킨슨 약을 먹는데 몸이 저절로 움직여요 — 이상운동증 이야기 | NervLock,,신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
파킨슨-초기증상,blog/파킨슨-초기증상/index.html,https://nervlocklab.com/blog/파킨슨-초기증상/,ko,Blog,파킨슨병 초기 신호 5가지 — 손이 떨리기 전에 몸이 먼저 말합니다 | NervLock,파킨슨병 초기 신호 5가지 손이 떨리기 전에 몸이 먼저 말합니다,파킨슨병 초기 신호 5가지 — 손이 떨리기 전에 몸이 먼저 말합니다 | NervLock,,신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
파킨슨-통증,blog/파킨슨-통증/index.html,https://nervlocklab.com/blog/파킨슨-통증/,ko,Blog,파킨슨 환자의 통증을 나이 탓으로만 돌리지 마세요 | NervLock,파킨슨 환자의 통증 단순한 노화가 아닙니다,파킨슨 환자의 통증을 나이 탓으로만 돌리지 마세요 | NervLock,,통증·자율신경,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
파킨슨증-원인,blog/파킨슨증-원인/index.html,https://nervlocklab.com/blog/파킨슨증-원인/,ko,Blog,손 떨리고 몸이 뻣뻣… 파킨슨병이 아니라면? '파킨슨증'과 그 원인들 | NervLock,손 떨리고 몸이 뻣뻣… 파킨슨병이 아니라면? '파킨슨증'과 그 원인들,손 떨리고 몸이 뻣뻣… 파킨슨병이 아니라면? '파킨슨증'과 그 원인들 | NervLock,"파킨슨병과 유사한 증상, 파킨슨증(Parkinsonism)의 네 가지 원인 — 약물, 혈관, 정상압 수두증, 파킨슨 플러스. 신경과 전문의가 감별 진단의 핵심을 설명합니다.",신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
포스파티딜세린-기억력,blog/포스파티딜세린-기억력/index.html,https://nervlocklab.com/blog/포스파티딜세린-기억력/,ko,Blog,"포스파티딜세린(PS), 왜 기억력에 주목받는가 | NervLock","포스파티딜세린(PS), 왜 기억력에 주목받는가","포스파티딜세린(PS), 왜 기억력에 주목받는가 | NervLock",,영양·대사,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
호모시스테인-치매-B비타민,blog/호모시스테인-치매-B비타민/index.html,https://nervlocklab.com/blog/호모시스테인-치매-B비타민/,ko,Blog,호모시스테인과 뇌 — 치매 위험과 B군 비타민의 관계 | NervLock,호모시스테인과 뇌 치매 위험과 B군 비타민의 관계,호모시스테인과 뇌 — 치매 위험과 B군 비타민의 관계 | NervLock,,신경계 증상·질환,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
