Content ID,언어,제목,URL,파일 경로,현재 등급,D1,D2,D3,D4,D5,D6,실제 제품 CTA 여부,제품명,CTA 정확한 문구,CTA 위치,질환 또는 증상명,위험 문구,권장 조치,수정 우선순위,인간 결정 필요 여부,재분류 가능성
parkinson-early-signs,en,Early Signs of Parkinson's Disease: The Prodromal Signals That Precede Motor Symptoms | NervLock,https://nervlocklab.com/blog/parkinson-early-signs/,blog/parkinson-early-signs/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,Support Your Neural Health with NervLock Nerve Care | Formulated by a neurologist with curcumin + Aflapin® — dual NF-κB and 5-LOX pathway coverage for neural inflammatory balance. / NervLock's first product is launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",파킨슨병,Formulated by a neurologist with curcumin + Aflapin® — dual NF-κB and 5-LOX pathway coverage for neural inflammatory balance. / NervLock's first product is launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
parkinson-exercise-therapy,en,Exercise as Medicine in Parkinson's Disease: Neurobiological Mechanisms and Clinical Evidence | NervLock,https://nervlocklab.com/blog/parkinson-exercise-therapy/,blog/parkinson-exercise-therapy/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,Support Your Neural Health with NervLock Nerve Care | Formulated by a neurologist with curcumin + Aflapin® — dual NF-κB and 5-LOX pathway coverage for neural inflammatory balance. / NervLock's first product is launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",파킨슨병,Formulated by a neurologist with curcumin + Aflapin® — dual NF-κB and 5-LOX pathway coverage for neural inflammatory balance. / NervLock's first product is launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
parkinson-medication-management,en,Pharmacological Management of Parkinson's Disease: A Neurologist's Evidence-Based Overview | NervLock,https://nervlocklab.com/blog/parkinson-medication-management/,blog/parkinson-medication-management/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,Support Your Neural Health with NervLock Nerve Care | Formulated by a neurologist with curcumin + Aflapin® — dual NF-κB and 5-LOX pathway coverage for neural inflammatory balance. / NervLock's first product is launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",파킨슨병,Formulated by a neurologist with curcumin + Aflapin® — dual NF-κB and 5-LOX pathway coverage for neural inflammatory balance. / NervLock's first product is launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
peripheral-neuropathy,en,"What is Peripheral Neuropathy? Symptoms, Causes & Neurologist's Perspective | NervLock",https://nervlocklab.com/blog/peripheral-neuropathy/,blog/peripheral-neuropathy/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,Support Your Neural Health with NervLock Nerve Care | Formulated by a neurologist with curcumin + Aflapin® — the two most evidence-backed ingredients for neural inflammatory balance. / NervLock's first product is launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",말초신경/신경통,Formulated by a neurologist with curcumin + Aflapin® — the two most evidence-backed ingredients for neural inflammatory balance. / NervLock's first product is launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
phosphatidylserine-memory,en,Phosphatidylserine and Memory: The Neurobiological Case | NervLock,https://nervlocklab.com/blog/phosphatidylserine-memory/,blog/phosphatidylserine-memory/index.html,D,Y,Y,Y,Y,Y,Y,Y,Brain Energy,Support Brain Health with NervLock Brain Energy | Formulated by a neurologist with MFDS-recognized phosphatidylserine as a core ingredient. / NervLock Brain Energy — a science-based brain health routine — launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",기억력 저하,Formulated by a neurologist with MFDS-recognized phosphatidylserine as a core ingredient. / NervLock Brain Energy — a science-based brain health routine — launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
postherpetic-neuralgia,en,Postherpetic Neuralgia: Why Pain Persists Long After the Rash Has Healed | NervLock,https://nervlocklab.com/blog/postherpetic-neuralgia/,blog/postherpetic-neuralgia/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,Support Your Neural Health with NervLock Nerve Care | Formulated by a neurologist with curcumin + Aflapin® — the two most evidence-backed ingredients for neural inflammatory balance. / NervLock's first product is launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",말초신경/신경통; 통증,Formulated by a neurologist with curcumin + Aflapin® — the two most evidence-backed ingredients for neural inflammatory balance. / NervLock's first product is launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
rtg-omega3-bioavailability,en,rTG Omega-3: Why Molecular Form Determines Bioavailability | NervLock,https://nervlocklab.com/blog/rtg-omega3-bioavailability/,blog/rtg-omega3-bioavailability/index.html,D,Y,N,Y,Y,Y,Y,Y,Brain Energy,Support Brain Health with NervLock Brain Energy | Formulated by a neurologist with rTG-form omega-3 as a core ingredient — bioavailability-first design from the ground up. / NervLock Brain Energy launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",(일반 영양/성분 교육),Formulated by a neurologist with rTG-form omega-3 as a core ingredient — bioavailability-first design from the ground up. / NervLock Brain Energy launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)","2순위 (성분·영양 교육, 질환명 미포함)",Y,N (D1 제품 CTA 존재로 재분류 불가)
sleep-memory-focus,en,Sleep and Brain Health: How Rest Shapes Memory and Focus | NervLock,https://nervlocklab.com/blog/sleep-memory-focus/,blog/sleep-memory-focus/index.html,D,Y,Y,Y,Y,Y,Y,Y,Brain Energy,Start Your Brain Health Routine with NervLock Brain Energy | Formulated by a neurologist with phosphatidylserine + rTG Omega-3 — core ingredients your brain needs. / NervLock's first product is launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",브레인포그/집중력; 기억력 저하,Formulated by a neurologist with phosphatidylserine + rTG Omega-3 — core ingredients your brain needs. / NervLock's first product is launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
vitamin-b12-methylcobalamin,en,Vitamin B12 and Nerve Health: Why Form Matters — Methylcobalamin vs Cyanocobalamin | NervLock,https://nervlocklab.com/blog/vitamin-b12-methylcobalamin/,blog/vitamin-b12-methylcobalamin/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,"Support Your Neural Health with NervLock Nerve Care | Methylcobalamin included among six evidence-based support nutrients, alongside curcumin + Aflapin® core ingredients. / NervLock's first product is launching soon. | 버튼: Get Launch Notification","author-card 직후, related 섹션 직전 (.cta-banner 블록)",말초신경/신경통,"Methylcobalamin included among six evidence-based support nutrients, alongside curcumin + Aflapin® core ingredients. / NervLock's first product is launching soon.","CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
vitamin-b12-nerve,en,Methylcobalamin vs. Cyanocobalamin: What Your Nerves Actually Need | NervLock,https://nervlocklab.com/blog/vitamin-b12-nerve/,blog/vitamin-b12-nerve/index.html,D,Y,N,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,Support Your Neural Health with NervLock Nerve Care | Formulated by a neurologist with curcumin + Aflapin® for neural inflammatory balance. / NervLock's first product is launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",(일반 영양/성분 교육),Formulated by a neurologist with curcumin + Aflapin® for neural inflammatory balance. / NervLock's first product is launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)","2순위 (성분·영양 교육, 질환명 미포함)",Y,N (D1 제품 CTA 존재로 재분류 불가)
rTG-오메가3-차이,ko,"rTG 오메가3, 일반 오메가3와 뭐가 다른가 — 흡수율의 과학 | NervLock",https://nervlocklab.com/blog/rTG-오메가3-차이/,blog/rTG-오메가3-차이/index.html,D,Y,N,Y,Y,Y,Y,Y,Brain Energy,NervLock Brain Energy로 뇌 건강 루틴을 시작하세요 | 신경과 전문의가 설계한 rTG형 오메가3 포함 뇌 건강 영양 루틴. / 흡수율부터 설계한 NervLock Brain Energy가 곧 출시됩니다. | 버튼: 출시 알림 신청하기,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",(일반 영양/성분 교육),신경과 전문의가 설계한 rTG형 오메가3 포함 뇌 건강 영양 루틴. / 흡수율부터 설계한 NervLock Brain Energy가 곧 출시됩니다.,CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6),"2순위 (성분·영양 교육, 질환명 미포함)",Y,N (D1 제품 CTA 존재로 재분류 불가)
대상포진-신경통,ko,"대상포진 후 신경통, 왜 수십 년씩 지속되는가 | NervLock",https://nervlocklab.com/blog/대상포진-신경통/,blog/대상포진-신경통/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,NervLock 너브케어로 신경 건강을 지원하세요 | 신경과 전문의가 직접 처방한 커큐민 + 애플라핀® — 신경 염증 균형을 위한 가장 근거 있는 두 가지 성분. / NervLock 브랜드의 첫 번째 제품이 곧 출시됩니다. | 버튼: 출시 알림 신청하기,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",말초신경/신경통,신경과 전문의가 직접 처방한 커큐민 + 애플라핀® — 신경 염증 균형을 위한 가장 근거 있는 두 가지 성분. / NervLock 브랜드의 첫 번째 제품이 곧 출시됩니다.,CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6),1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
말초신경병증,ko,"말초신경병증이란? 증상, 원인, 신경과 전문의의 시각 | NervLock",https://nervlocklab.com/blog/말초신경병증/,blog/말초신경병증/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,NervLock 너브케어로 신경 건강을 지원하세요 | 신경과 전문의가 직접 처방한 커큐민 + 애플라핀® — 신경 염증 균형을 위한 가장 근거 있는 두 가지 성분. / NervLock 브랜드의 첫 번째 제품이 곧 출시됩니다. | 버튼: 출시 알림 신청하기,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",말초신경/신경통,신경과 전문의가 직접 처방한 커큐민 + 애플라핀® — 신경 염증 균형을 위한 가장 근거 있는 두 가지 성분. / NervLock 브랜드의 첫 번째 제품이 곧 출시됩니다.,CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6),1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
브레인포그-신경과학,ko,브레인 포그(Brain Fog) — 멍한 머리의 신경과학적 원인과 필요 영양소 | NervLock,https://nervlocklab.com/blog/브레인포그-신경과학/,blog/브레인포그-신경과학/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,NervLock 신경 케어로 신경 건강을 지원하세요 | 신경과 전문의가 직접 설계한 성분 — 커큐민 + Aflapin® 이중 경로 신경 염증 조절. / NervLock 첫 번째 제품 출시가 곧 시작됩니다. | 버튼: 출시 알림 신청,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",브레인포그/집중력,신경과 전문의가 직접 설계한 성분 — 커큐민 + Aflapin® 이중 경로 신경 염증 조절. / NervLock 첫 번째 제품 출시가 곧 시작됩니다.,CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6),1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
