Content ID,언어,파일 경로,원래 등급,재평가 등급,등급 변경 사유,D1 잔존,D2 잔존,D3 잔존,D4 잔존,D5 잔존,D6 잔존,본문 재검수 필요 여부,비고
vitamin-b12-methylcobalamin,en,blog/vitamin-b12-methylcobalamin/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
vitamin-b12-nerve,en,blog/vitamin-b12-nerve/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
what-does-the-autonomic-nervous-system-control,en,blog/what-does-the-autonomic-nervous-system-control/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
why-cant-i-focus,en,blog/why-cant-i-focus/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
why-concentration-declines-dopamine-sleep-adhd,ko,blog/why-concentration-declines-dopamine-sleep-adhd/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
기억력-치매-차이,ko,blog/기억력-치매-차이/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
뇌-영양,ko,blog/뇌-영양/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
대상포진-신경통,ko,blog/대상포진-신경통/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
두근거림-어지럼-소화불편-자율신경,ko,blog/두근거림-어지럼-소화불편-자율신경/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
레보도파-오해,ko,blog/레보도파-오해/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
말초신경병증,ko,blog/말초신경병증/index.html,D,B,"2026-07-20 3개 페이지 정밀 검수 후 본문 잔존 문장 ""이러한 기전적 시너지가 NervLock 너브케어에서의 복합 처방 근거입니다."" 삭제 완료(문장만 제거, 앞 문장의 커큐민/애플라핀 기전 설명은 원문 그대로 보존). CTA 제거로 해소되지 않았던 D2/D4 위험(질환 교육과 특정 제품명 직결, 미확정 제품 확정 노출)이 이번 문장 삭제로 해소됨.",N(CTA는 제거됨),N (2026-07-20 문장 삭제로 해소),N (2026-07-20 문장 삭제로 해소),N (2026-07-20 문장 삭제로 해소),Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상 / 2026-07-20 잔존 문장 삭제 완료
브레인포그-신경과학,ko,blog/브레인포그-신경과학/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
브레인포그-원인,ko,blog/브레인포그-원인/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
비타민B12-신경,ko,blog/비타민B12-신경/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
수면-기억력-집중력,ko,blog/수면-기억력-집중력/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
신경-건강-음식,ko,blog/신경-건강-음식/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
알파리포산,ko,blog/알파리포산/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
야간-신경-불편감,ko,blog/야간-신경-불편감/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
자율신경-무너졌을때,ko,blog/자율신경-무너졌을때/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
자율신경-조절,ko,blog/자율신경-조절/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
치매-10년전-신호,ko,blog/치매-10년전-신호/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
치매-위험-생활습관,ko,blog/치매-위험-생활습관/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
파킨슨-REM수면장애,ko,blog/파킨슨-REM수면장애/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
파킨슨-감별진단,ko,blog/파킨슨-감별진단/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
파킨슨-글루타치온,ko,blog/파킨슨-글루타치온/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
파킨슨-변비,ko,blog/파킨슨-변비/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
파킨슨-보호자,ko,blog/파킨슨-보호자/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
파킨슨-약물용량,ko,blog/파킨슨-약물용량/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
파킨슨-약물치료,ko,blog/파킨슨-약물치료/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
파킨슨-운동치료,ko,blog/파킨슨-운동치료/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
파킨슨-원인-도파민,ko,blog/파킨슨-원인-도파민/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
파킨슨-유전,ko,blog/파킨슨-유전/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
파킨슨-이상운동증,ko,blog/파킨슨-이상운동증/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
파킨슨-초기증상,ko,blog/파킨슨-초기증상/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
파킨슨-통증,ko,blog/파킨슨-통증/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
파킨슨증-원인,ko,blog/파킨슨증-원인/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
포스파티딜세린-기억력,ko,blog/포스파티딜세린-기억력/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
호모시스테인-치매-B비타민,ko,blog/호모시스테인-치매-B비타민/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
